action_id,date_id,customer_id,lane_id,office_id,issue_type,priority,status,owner,risk_value_usd,target_margin_recovery_usd,recommended_action,due_date,is_synthetic
ACT001,2026-05,C002,L002,O002,Claims spike,High,Open,Customer Success,207319.83,94841.28,Review packaging and carrier claims recovery,2026-05-23,TRUE
ACT002,2026-05,C002,L001,O001,Claims spike,High,Open,Procurement,295779.41,124789.56,Review packaging and carrier claims recovery,2026-06-04,TRUE
ACT003,2026-02,C013,L002,O002,Demurrage exposure,High,In Review,Customer Success,166053.21,85586.99,Renegotiate free time and tighten document cutoff,2026-03-23,TRUE
ACT004,2026-04,C010,L001,O003,Below target margin,Medium,Action Agreed,Finance BP,58662.06,49274.39,Reprice customer or reset minimum yield,2026-05-25,TRUE
ACT005,2026-02,C001,L001,O002,Demurrage exposure,High,Open,Customer Success,97915.64,44034.43,Renegotiate free time and tighten document cutoff,2026-03-07,TRUE
ACT006,2026-04,C010,L002,O003,Carrier rate gap,High,Action Agreed,Finance BP,88185.99,64581.28,Tender backup carrier and re-benchmark lane,2026-05-17,TRUE
ACT007,2026-03,C010,L001,O002,Demurrage exposure,High,In Review,Operations,79368.99,49048.58,Renegotiate free time and tighten document cutoff,2026-03-24,TRUE
ACT008,2026-05,C009,L002,O002,Claims spike,Medium,In Review,Commercial,96083.04,52745.56,Review packaging and carrier claims recovery,2026-05-26,TRUE
ACT009,2026-03,C009,L001,O002,Below target margin,Medium,In Review,Commercial,84075.42,49175.58,Reprice customer or reset minimum yield,2026-04-21,TRUE
ACT010,2026-04,C002,L001,O002,Carrier rate gap,High,Open,Finance BP,124065.01,62767.89,Tender backup carrier and re-benchmark lane,2026-04-29,TRUE
ACT011,2026-03,C001,L008,O006,Carrier rate gap,High,In Review,Finance BP,85518.81,52793.26,Tender backup carrier and re-benchmark lane,2026-03-24,TRUE
ACT012,2026-01,C002,L002,O003,Below target margin,High,Open,Commercial,147912.63,67146.36,Reprice customer or reset minimum yield,2026-02-15,TRUE
ACT013,2026-02,C002,L001,O001,Below target margin,Medium,In Review,Procurement,34362.44,18850.16,Reprice customer or reset minimum yield,2026-03-01,TRUE
ACT014,2026-02,C010,L002,O001,Below target margin,Medium,In Review,Finance BP,47398.45,24687.34,Reprice customer or reset minimum yield,2026-02-24,TRUE
ACT015,2026-02,C009,L002,O002,Carrier rate gap,High,Open,Finance BP,76471.98,32694.31,Tender backup carrier and re-benchmark lane,2026-02-24,TRUE
ACT016,2026-01,C001,L011,O003,Demurrage exposure,High,Open,Customer Success,79911.13,38870.27,Renegotiate free time and tighten document cutoff,2026-01-22,TRUE
ACT017,2026-01,C002,L011,O002,Claims spike,Low,Open,Customer Success,16783.97,8496.26,Review packaging and carrier claims recovery,2026-02-08,TRUE
ACT018,2026-05,C009,L008,O006,Below target margin,Medium,Open,Commercial,69314.54,35029.4,Reprice customer or reset minimum yield,2026-06-22,TRUE
ACT019,2026-03,C002,L005,O001,Claims spike,High,In Review,Commercial,100549.61,54976.05,Review packaging and carrier claims recovery,2026-04-05,TRUE
ACT020,2026-01,C010,L002,O001,Demurrage exposure,High,In Review,Customer Success,47022.88,27924.26,Renegotiate free time and tighten document cutoff,2026-02-15,TRUE
ACT021,2026-02,C013,L008,O006,Carrier rate gap,High,Open,Finance BP,91335.11,39073.21,Tender backup carrier and re-benchmark lane,2026-03-14,TRUE
ACT022,2026-05,C001,L008,O006,Fuel leakage,High,In Review,Finance BP,61151.15,35183.66,Update surcharge table and audit pass-through,2026-06-21,TRUE
ACT023,2026-04,C003,L008,O006,Claims spike,Medium,Open,Procurement,31520.51,14965.48,Review packaging and carrier claims recovery,2026-05-25,TRUE
ACT024,2026-03,C013,L005,O001,Below target margin,High,Open,Commercial,86363.88,37271.68,Reprice customer or reset minimum yield,2026-03-31,TRUE
ACT025,2026-02,C010,L011,O002,Demurrage exposure,High,Closed,Customer Success,6903.81,6321.63,Renegotiate free time and tighten document cutoff,2026-03-11,TRUE
ACT026,2026-05,C010,L008,O006,Below target margin,High,Action Agreed,Finance BP,22637.41,15276.35,Reprice customer or reset minimum yield,2026-06-12,TRUE
ACT027,2026-02,C002,L002,O002,Below target margin,Low,Closed,Commercial,2871.78,2673.43,Reprice customer or reset minimum yield,2026-03-22,TRUE
ACT028,2026-01,C009,L002,O003,Fuel leakage,Low,Action Agreed,Finance BP,11962.35,9663.37,Update surcharge table and audit pass-through,2026-01-22,TRUE
ACT029,2026-04,C004,L001,O001,Claims spike,High,Open,Operations,82908.42,34606.6,Review packaging and carrier claims recovery,2026-05-18,TRUE
ACT030,2026-02,C002,L008,O006,Claims spike,Medium,Action Agreed,Operations,24965.4,19090.24,Review packaging and carrier claims recovery,2026-03-16,TRUE
ACT031,2026-03,C001,L005,O003,Below target margin,Medium,Open,Commercial,49257.13,25107.77,Reprice customer or reset minimum yield,2026-03-24,TRUE
ACT032,2026-02,C010,L008,O006,Demurrage exposure,Medium,In Review,Customer Success,21887.88,12824.7,Renegotiate free time and tighten document cutoff,2026-03-22,TRUE
ACT033,2026-03,C005,L011,O002,Fuel leakage,High,Open,Customer Success,35829.3,15343.71,Update surcharge table and audit pass-through,2026-04-02,TRUE
ACT034,2026-03,C010,L002,O001,Claims spike,High,Closed,Customer Success,8461.11,7057.52,Review packaging and carrier claims recovery,2026-04-14,TRUE
