date_key,supplier_id,supplier,supplier_category,carbon_risk_tier,supplier_country,target_status,emissions_tco2e,spend_usd,supplier_intensity_tco2e_per_musd,data_quality_score
202401,S002,BlueRiver Logistics,Components,High,China,No verified target,1375.25,506319.45,2716.17,0.94
202401,S003,Canopy Packaging,Energy,Medium,India,Renewable PPA,372.84,467688.68,797.2,0.9
202401,S004,Delta Metals,Travel,Low,Germany,No verified target,2264.01,969061.26,2336.29,0.64
202401,S005,EastGrid Energy,Logistics,Medium,Netherlands,No verified target,87.76,83996.96,1044.8,0.91
202401,S006,Forest Fiber Co,Facilities,Medium,United States,Renewable PPA,150.18,41918.87,3582.63,0.76
202401,S007,GreenPulse Freight,Materials,High,Mexico,Supplier target,1553.98,765356.58,2030.4,0.95
202401,S008,Harbor Components,Packaging,Low,Malaysia,Renewable PPA,889.23,773993.43,1148.89,0.81
202401,S010,Jade Electronics,Energy,High,Vietnam,Supplier target,135.56,385275.13,351.85,0.81
202401,S011,Keystone Plastics,Travel,Medium,Thailand,Supplier target,2730.58,880360.38,3101.66,0.87
202401,S012,Lumen Utilities,Logistics,Low,China,Renewable PPA,215.82,351766.39,613.53,0.79
202401,S013,Mekong Transport,Facilities,Medium,India,Supplier target,888.79,750690.04,1183.96,0.76
202401,S014,Nova Textiles,Materials,High,Germany,Renewable PPA,1511.09,925054.92,1633.51,0.9
202401,S015,Orchid Facilities,Packaging,Medium,Netherlands,Renewable PPA,325.44,284636.24,1143.35,0.91
202401,S016,Pacific Cold Chain,Components,High,United States,Renewable PPA,431.9,256860.91,1681.45,0.82
202401,S019,Solaris Power,Logistics,Medium,Japan,SBTi committed,544.08,536572.0,1013.99,0.74
202401,S021,Urban Mobility,Materials,Medium,Thailand,No verified target,404.01,887420.33,455.26,0.82
202401,S022,Vector Metals,Packaging,Medium,China,Renewable PPA,126.79,138591.56,914.85,0.7
202401,S023,Willow Office Supply,Components,High,India,Renewable PPA,545.44,799724.25,682.04,0.73
202401,S024,Zenith Packaging,Energy,Low,Germany,Renewable PPA,1274.19,710561.62,1793.22,0.77
202402,S001,Astra Materials,Packaging,Medium,Thailand,SBTi committed,1876.67,1311656.46,1430.76,0.78
202402,S002,BlueRiver Logistics,Components,High,China,No verified target,1300.79,507843.88,2561.4,0.94
202402,S003,Canopy Packaging,Energy,Medium,India,Renewable PPA,1487.78,1205316.07,1234.35,0.9
202402,S004,Delta Metals,Travel,Low,Germany,No verified target,2461.69,1230465.56,2000.62,0.64
