product_id,product_name,category,subcategory,brand,base_price,unit_cost,launch_date,active_flag
P10000,Zenith Gaming 001,Electronics,Gaming,PlainGood,1038.62,712.56,2024-04-15,Y
P10001,Northline Laptop 002,Electronics,Laptop,Northline,1556.17,984.66,2023-08-23,Y
P10002,Zenith Mobile 003,Electronics,Mobile,CorePlus,1721.88,1176.81,2023-12-22,Y
P10003,Northline Gaming 004,Electronics,Gaming,Zenith,1548.14,1077.08,2024-07-13,Y
P10004,UrbanCo Audio 005,Electronics,Audio,Everly,324.62,228.11,2024-07-08,Y
P10005,CorePlus Audio 006,Electronics,Audio,Vivid,966.2,619.76,2023-06-24,Y
P10006,UrbanCo Laptop 007,Electronics,Laptop,Vivid,1389.25,872.73,2024-06-12,Y
P10007,Vivid Mobile 008,Electronics,Mobile,CorePlus,650.68,476.19,2023-10-18,Y
P10008,Modo Gaming 009,Electronics,Gaming,Everly,486.57,363.76,2023-10-08,Y
P10009,Everly Mobile 010,Electronics,Mobile,Modo,894.74,642.69,2023-06-12,Y
P10010,NovaHaus Laptop 011,Electronics,Laptop,UrbanCo,753.86,539.68,2024-08-18,Y
P10011,Modo Gaming 012,Electronics,Gaming,Northline,236.74,170.32,2024-07-18,Y
P10012,Zenith Wearables 013,Electronics,Wearables,Vivid,441.02,327.94,2024-08-13,Y
P10013,Northline Wearables 014,Electronics,Wearables,PlainGood,1086.7,770.24,2023-02-22,Y
P10014,Vivid Mobile 015,Electronics,Mobile,Zenith,1106.94,837.12,2023-03-06,Y
P10015,Zenith Mobile 016,Electronics,Mobile,Aster,213.4,136.39,2023-09-23,Y
P10016,Northline Audio 017,Electronics,Audio,Zenith,346.69,254.47,2024-03-29,Y
P10017,Aster Wearables 018,Electronics,Wearables,Vivid,1285.8,786.51,2023-12-10,Y
P10018,Vivid Laptop 019,Electronics,Laptop,Aster,1013.41,680.55,2023-02-25,Y
P10019,NovaHaus Wearables 020,Electronics,Wearables,Aster,884.92,665.32,2024-04-02,Y
