merchant_id,merchant_name,merchant_segment,vertical,country,region,risk_tier,account_manager,acquisition_channel,onboarding_date,base_monthly_gmv,avg_ticket_usd,contracted_take_rate,fixed_fee_usd,active_flag
M0001,EducationPay Merchant 0001,SMB,Education,Thailand,Bangkok,Low,Nadia Santos,Partner,2023-11-05,21915.4,73.18,0.01739,0.026,1
M0002,ServicesPay Merchant 0002,Mid-Market,Services,Indonesia,Java,Low,Ava Nguyen,Self-Serve,2022-10-01,89080.64,122.09,0.01379,0.02,1
M0003,RetailPay Merchant 0003,Mid-Market,Retail,Vietnam,VN South,Low,Nadia Santos,Self-Serve,2023-07-28,66765.29,45.4,0.01568,0.02,1
M0004,ServicesPay Merchant 0004,Mid-Market,Services,Vietnam,VN North,Low,Daniel Ho,Self-Serve,2023-03-23,238046.77,60.43,0.01221,0.02,1
M0005,EducationPay Merchant 0005,Enterprise,Education,Philippines,Philippines Provincial,Low,Minh Pham,Direct Sales,2025-01-22,322701.45,93.04,0.01055,0.015,1
M0006,TravelPay Merchant 0006,Micro,Travel,Thailand,Bangkok,Low,Nadia Santos,Self-Serve,2022-01-03,37912.53,313.4,0.0216,0.032,1
M0007,ServicesPay Merchant 0007,SMB,Services,Indonesia,Indonesia Outer,Low,Ava Nguyen,Direct Sales,2021-04-08,39054.75,77.78,0.01835,0.026,1
M0008,TravelPay Merchant 0008,Micro,Travel,Singapore,Singapore,High,Minh Pham,Self-Serve,2024-05-03,5986.57,353.93,0.01708,0.032,1
M0009,EducationPay Merchant 0009,Enterprise,Education,Philippines,Metro Manila,Low,Chloe Lim,Direct Sales,2025-01-12,438698.49,67.41,0.01004,0.015,1
M0010,EducationPay Merchant 0010,SMB,Education,Indonesia,Indonesia Outer,Low,Farah Rahman,Self-Serve,2024-07-09,26567.11,118.38,0.01827,0.026,1
M0011,UtilitiesPay Merchant 0011,Micro,Utilities,Vietnam,VN Central,Low,Nadia Santos,Direct Sales,2022-05-13,6316.12,41.03,0.0192,0.032,1
M0012,TravelPay Merchant 0012,Mid-Market,Travel,Vietnam,VN South,Low,Nadia Santos,Partner,2023-12-28,311125.57,318.42,0.01376,0.02,1
M0013,ServicesPay Merchant 0013,Micro,Services,Thailand,Bangkok,Medium,Daniel Ho,Direct Sales,2021-06-21,35909.47,57.05,0.01961,0.032,1
M0014,FoodPay Merchant 0014,SMB,Food Delivery,Singapore,Singapore,Low,Ava Nguyen,Self-Serve,2024-10-09,27836.76,31.59,0.01645,0.026,1
M0015,MarketplacePay Merchant 0015,SMB,Marketplace,Vietnam,VN North,Low,Ava Nguyen,Platform Referral,2022-02-13,64625.17,98.18,0.01695,0.026,1
